case,benchmark_sim,standard_sim
BernardCells,0.2533094251531428,0.4826070884313119
Cavity,0.3064416613272938,0.5967898432145508
Cylinder,0.40142582142197347,0.4313687063805627
counterFlowFlame2D,0.35832520715995914,0.4663095445304311
damBreakWithObstacle,0.05077812315338773,0.11100420623765611
forwardStep,0.3567544394018093,0.46907879356554616
obliqueShock,0.30977008320160127,0.47630894080960945
pitzDaily,0.45162515311951323,0.6022829058389868
shallowWaterWithSquareBump,0.2573303105951115,0.24605295512848832
squareBend,0.1500400826722945,0.4415485689327098
wedge,0.36762934373048656,0.42942574566695796
