file_name,benchmark_sim,standard_sim,delta_std_minus_bench
combustionProperties,0.032,0.4492753623188406,0.41727536231884055
physicalProperties,0.19051508677144896,0.6042481634569441,0.41373307668549514
nuTilda,0.22256857855361595,0.61907576669006,0.3965071881364441
epsilon,0.17428654197554708,0.5183956000246568,0.34410905804910974
alphat,0.24829814114082804,0.5401155587435964,0.29181741760276836
nut,0.15935331203188347,0.4499933773929884,0.2906400653611049
momentumTransport,0.18054168589039904,0.4198698144714573,0.23932812858105829
k,0.15633653212218884,0.3935011412764201,0.23716460915423127
controlDict,0.2441731934160041,0.45699268125284154,0.21281948783683743
fvSolution,0.2980307075873407,0.4759981471139834,0.17796743952664273
g,0.08174386920980926,0.2486910994764398,0.16694723026663055
fvSchemes,0.3831115277828418,0.5081772147551186,0.12506568697227677
p,0.38094234697801677,0.5001860831215353,0.11924373614351857
T,0.4029154737792581,0.5002878850705464,0.09737241129128832
p_rgh,0.14656381486676018,0.24049331963001028,0.0939295047632501
gravitationalProperties,0.2615219721329046,0.34932349323493234,0.08780152110202771
blockMeshDict,0.3475952582006373,0.4342663179480126,0.08667105974737532
U,0.4297055162509994,0.485550897669365,0.05584538141836559
O2,0.5587144622991347,0.613603473227207,0.0548890109280723
N2,0.5574783683559951,0.6097031136857349,0.05222474532973986
H2O,0.555486670799752,0.6020408163265306,0.04655414552677861
CO2,0.555486670799752,0.6020408163265306,0.04655414552677861
Ydefault,0.5577981651376147,0.5991379310344828,0.04133976589686805
chemistryProperties,0.020395156150414276,0.05956112852664577,0.03916597237623149
CH4,0.5561694290976059,0.5945165945165946,0.03834716541898864
setFieldsDict,0.11440329218106995,0.1332807570977918,0.018877464916721848
reactions,0.08325266214908035,0.09845031905195989,0.015197656902879539
decomposeParDict,0.0,0.0,0.0
U.orig,0.0,0.0,0.0
Qdot,0.0,0.0,0.0
alpha.water,0.0,0.0,0.0
alpha.water.orig,0.0,0.0,0.0
dynamicMeshDict,0.0,0.0,0.0
physicalProperties.water,0.0,0.0,0.0
hU.orig,0.0,0.0,0.0
hTotal,0.0,0.0,0.0
hU,0.0,0.0,0.0
h0.orig,0.0,0.0,0.0
h0,0.0,0.0,0.0
h.orig,0.0,0.0,0.0
fvConstraints,0.0,0.0,0.0
topoSetDict,0.0,0.0,0.0
omega,0.0,0.0,0.0
phaseProperties,0.0,0.0,0.0
physicalProperties.air,0.0,0.0,0.0
time,0.0,0.0,0.0
Allrun,0.7041109809239852,0.6909711375286756,-0.013139843395309603
thermo.compressibleGas,0.03828246249353337,0.015192950470981464,-0.023089512022551904
h,0.19254119687771032,0.0,-0.19254119687771032
