run,case,relpath,file_name,basic_file,expected_run_file
benchmark,BernardCells,0/p,p,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\BernardCells\1\GT_files\0\p,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\BernardCells\1\0\p
benchmark,Cavity,0/epsilon,epsilon,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\Cavity\1\GT_files\0\epsilon,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\Cavity\1\0\epsilon
benchmark,Cavity,0/k,k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\Cavity\1\GT_files\0\k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\Cavity\1\0\k
benchmark,Cavity,0/nut,nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\Cavity\1\GT_files\0\nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\Cavity\1\0\nut
benchmark,Cavity,0/nuTilda,nuTilda,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\Cavity\1\GT_files\0\nuTilda,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\Cavity\1\0\nuTilda
benchmark,Cavity,0/omega,omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\Cavity\1\GT_files\0\omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\Cavity\1\0\omega
standard,Cavity,0/omega,omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\Cavity\1\GT_files\0\omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\Cavity\1\0\omega
benchmark,counterFlowFlame2D,0/Qdot,Qdot,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\counterFlowFlame2D\1\GT_files\0\Qdot,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\counterFlowFlame2D\1\0\Qdot
standard,counterFlowFlame2D,0/Qdot,Qdot,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\counterFlowFlame2D\1\GT_files\0\Qdot,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\counterFlowFlame2D\1\0\Qdot
benchmark,counterFlowFlame2D,0/uniform/time,time,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\counterFlowFlame2D\1\GT_files\0\uniform\time,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\counterFlowFlame2D\1\0\uniform\time
standard,counterFlowFlame2D,0/uniform/time,time,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\counterFlowFlame2D\1\GT_files\0\uniform\time,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\counterFlowFlame2D\1\0\uniform\time
benchmark,damBreakWithObstacle,0/alpha.water,alpha.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\alpha.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\0\alpha.water
standard,damBreakWithObstacle,0/alpha.water,alpha.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\alpha.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\alpha.water
benchmark,damBreakWithObstacle,0/alpha.water.orig,alpha.water.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\alpha.water.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\0\alpha.water.orig
standard,damBreakWithObstacle,0/alpha.water.orig,alpha.water.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\alpha.water.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\alpha.water.orig
